"","entry_exit_provider_program_type_code","ee_uid","client_id","entry_exit_review_uid","entry_exit_review_point_in_time_type","entry_exit_review_date","entry_exit_review_date_updated"
"4831","Emergency Shelter (HUD)",737202,420616,37289,"Interim Review","7/28/2016","7/28/2016"
"4832","Emergency Shelter (HUD)",738173,404666,33846,"Interim Review","7/13/2016","7/13/2016"
"4833","Emergency Shelter (HUD)",738173,404666,35255,"Interim Review","7/15/2016","7/15/2016"
"4834","Emergency Shelter (HUD)",760811,425360,95298,"Interim Review","6/22/2016","10/15/2018"
"4835","Emergency Shelter (HUD)",760811,425360,101472,"Interim Review","6/1/2016","1/7/2019"
"4836","Emergency Shelter (HUD)",760813,425683,95299,"Interim Review","6/22/2016","10/15/2018"
"4837","Emergency Shelter (HUD)",760813,425683,101473,"Interim Review","6/1/2016","1/7/2019"
"4838","Emergency Shelter (HUD)",764488,423347,35262,"Interim Review","7/15/2016","7/15/2016"
"4839","Emergency Shelter (HUD)",764492,364401,35251,"Interim Review","7/15/2016","7/15/2016"
"4840","Emergency Shelter (HUD)",764824,426340,35246,"Interim Review","7/15/2016","7/15/2016"
"4841","Emergency Shelter (HUD)",764833,311266,35264,"Interim Review","7/15/2016","7/15/2016"
"4842","Emergency Shelter (HUD)",775713,371814,33501,"Interim Review","7/12/2016","7/12/2016"
"4843","Emergency Shelter (HUD)",786782,431908,49578,"Interim Review","3/20/2017","3/22/2017"
"4844","Emergency Shelter (HUD)",786796,431405,33500,"Interim Review","7/12/2016","7/12/2016"
"4845","Emergency Shelter (HUD)",787112,432151,33863,"Interim Review","7/13/2016","7/13/2016"
"4846","Emergency Shelter (HUD)",787141,307932,53195,"Interim Review","5/25/2017","5/25/2017"
"4847","Emergency Shelter (HUD)",787141,307932,53522,"Interim Review","5/31/2017","5/31/2017"
"4848","Emergency Shelter (HUD)",787141,307932,53741,"Interim Review","6/5/2017","6/5/2017"
"4849","Emergency Shelter (HUD)",787141,307932,53747,"Interim Review","6/1/2017","6/5/2017"
"4850","Emergency Shelter (HUD)",787141,307932,53945,"Interim Review","6/7/2017","6/7/2017"
"4851","Emergency Shelter (HUD)",787141,307932,55669,"Interim Review","6/26/2017","6/26/2017"
"4852","Emergency Shelter (HUD)",787141,307932,56328,"Interim Review","7/7/2017","7/7/2017"
"4853","Emergency Shelter (HUD)",787143,432164,53196,"Interim Review","5/25/2017","5/25/2017"
"4854","Emergency Shelter (HUD)",787143,432164,53523,"Interim Review","5/31/2017","5/31/2017"
"4855","Emergency Shelter (HUD)",787143,432164,53742,"Interim Review","6/5/2017","6/5/2017"
"4856","Emergency Shelter (HUD)",787143,432164,53748,"Interim Review","6/1/2017","6/5/2017"
"4857","Emergency Shelter (HUD)",787143,432164,53946,"Interim Review","6/7/2017","6/7/2017"
"4858","Emergency Shelter (HUD)",787143,432164,55670,"Interim Review","6/26/2017","6/26/2017"
"4859","Emergency Shelter (HUD)",787143,432164,56329,"Interim Review","7/7/2017","7/7/2017"
"4860","Emergency Shelter (HUD)",787144,376069,53197,"Interim Review","5/25/2017","5/25/2017"
"4861","Emergency Shelter (HUD)",787144,376069,53524,"Interim Review","5/31/2017","5/31/2017"
"4862","Emergency Shelter (HUD)",787144,376069,53743,"Interim Review","6/5/2017","6/5/2017"
"4863","Emergency Shelter (HUD)",787144,376069,53749,"Interim Review","6/1/2017","6/5/2017"
"4864","Emergency Shelter (HUD)",787144,376069,53947,"Interim Review","6/7/2017","6/7/2017"
"4865","Emergency Shelter (HUD)",787144,376069,55671,"Interim Review","6/26/2017","6/26/2017"
"4866","Emergency Shelter (HUD)",787144,376069,56330,"Interim Review","7/7/2017","7/7/2017"
"4867","Emergency Shelter (HUD)",787145,307937,53198,"Interim Review","5/25/2017","5/25/2017"
"4868","Emergency Shelter (HUD)",787145,307937,53525,"Interim Review","5/31/2017","5/31/2017"
"4869","Emergency Shelter (HUD)",787145,307937,53744,"Interim Review","6/5/2017","6/5/2017"
"4870","Emergency Shelter (HUD)",787145,307937,53750,"Interim Review","6/1/2017","6/5/2017"
"4871","Emergency Shelter (HUD)",787145,307937,53948,"Interim Review","6/7/2017","6/7/2017"
"4872","Emergency Shelter (HUD)",787145,307937,55672,"Interim Review","6/26/2017","6/26/2017"
"4873","Emergency Shelter (HUD)",787145,307937,56331,"Interim Review","7/7/2017","7/7/2017"
"4874","Emergency Shelter (HUD)",787146,307936,53199,"Interim Review","5/25/2017","5/25/2017"
"4875","Emergency Shelter (HUD)",787146,307936,53526,"Interim Review","5/31/2017","5/31/2017"
"4876","Emergency Shelter (HUD)",787146,307936,53745,"Interim Review","6/5/2017","6/5/2017"
"4877","Emergency Shelter (HUD)",787146,307936,53751,"Interim Review","6/1/2017","6/5/2017"
"4878","Emergency Shelter (HUD)",787146,307936,53949,"Interim Review","6/7/2017","6/7/2017"
"4879","Emergency Shelter (HUD)",787146,307936,55673,"Interim Review","6/26/2017","6/26/2017"
"4880","Emergency Shelter (HUD)",787146,307936,56332,"Interim Review","7/7/2017","7/7/2017"
"4881","Emergency Shelter (HUD)",787976,429132,44988,"Interim Review","1/19/2017","1/19/2017"
"4882","Emergency Shelter (HUD)",787976,429132,47121,"Interim Review","1/31/2017","2/16/2017"
"4883","Emergency Shelter (HUD)",787976,429132,47122,"Interim Review","2/16/2017","2/16/2017"
"4884","Emergency Shelter (HUD)",787976,429132,49143,"Interim Review","3/13/2017","3/13/2017"
"4885","Emergency Shelter (HUD)",788733,126362,55614,"Interim Review","6/22/2017","6/26/2017"
"4886","Emergency Shelter (HUD)",788733,126362,55796,"Interim Review","6/27/2017","6/27/2017"
"4887","Emergency Shelter (HUD)",790030,427489,43404,"Interim Review","12/16/2016","12/16/2016"
"4888","Emergency Shelter (HUD)",790030,427489,43687,"Interim Review","12/22/2016","12/22/2016"
"4889","Emergency Shelter (HUD)",790030,427489,44298,"Interim Review","1/5/2017","1/5/2017"
"4890","Emergency Shelter (HUD)",790030,427489,44477,"Interim Review","1/10/2017","1/10/2017"
"4891","Emergency Shelter (HUD)",790030,427489,44918,"Interim Review","1/16/2017","1/19/2017"
"4892","Emergency Shelter (HUD)",790031,427494,43405,"Interim Review","12/16/2016","12/16/2016"
"4893","Emergency Shelter (HUD)",790031,427494,43688,"Interim Review","12/22/2016","12/22/2016"
"4894","Emergency Shelter (HUD)",790031,427494,44299,"Interim Review","1/5/2017","1/5/2017"
"4895","Emergency Shelter (HUD)",790031,427494,44478,"Interim Review","1/10/2017","1/10/2017"
"4896","Emergency Shelter (HUD)",790031,427494,44919,"Interim Review","1/16/2017","1/19/2017"
"4897","Emergency Shelter (HUD)",792318,373840,36066,"Interim Review","7/19/2016","7/19/2016"
"4898","Emergency Shelter (HUD)",793970,433262,45048,"Interim Review","1/19/2017","1/19/2017"
"4899","Emergency Shelter (HUD)",793970,433262,46264,"Interim Review","2/2/2017","2/2/2017"
"4900","Emergency Shelter (HUD)",793970,433262,46684,"Interim Review","2/10/2017","2/10/2017"
"4901","Emergency Shelter (HUD)",793970,433262,47750,"Interim Review","2/23/2017","2/23/2017"
"4902","Emergency Shelter (HUD)",793970,433262,47754,"Interim Review","2/23/2017","2/23/2017"
"4903","Emergency Shelter (HUD)",793970,433262,47976,"Interim Review","2/27/2017","2/27/2017"
"4904","Emergency Shelter (HUD)",793970,433262,48692,"Interim Review","3/1/2017","3/6/2017"
"4905","Emergency Shelter (HUD)",793971,433265,45049,"Interim Review","1/19/2017","1/19/2017"
"4906","Emergency Shelter (HUD)",793971,433265,46265,"Interim Review","2/2/2017","2/2/2017"
"4907","Emergency Shelter (HUD)",793971,433265,46685,"Interim Review","2/10/2017","2/10/2017"
"4908","Emergency Shelter (HUD)",793971,433265,47751,"Interim Review","2/23/2017","2/23/2017"
"4909","Emergency Shelter (HUD)",793971,433265,47755,"Interim Review","2/23/2017","2/23/2017"
"4910","Emergency Shelter (HUD)",793971,433265,47977,"Interim Review","2/27/2017","2/27/2017"
"4911","Emergency Shelter (HUD)",793971,433265,48693,"Interim Review","3/1/2017","3/6/2017"
"4912","Emergency Shelter (HUD)",793972,433264,45050,"Interim Review","1/19/2017","1/19/2017"
"4913","Emergency Shelter (HUD)",793972,433264,46266,"Interim Review","2/2/2017","2/2/2017"
"4914","Emergency Shelter (HUD)",793972,433264,46686,"Interim Review","2/10/2017","2/10/2017"
"4915","Emergency Shelter (HUD)",793972,433264,47752,"Interim Review","2/23/2017","2/23/2017"
"4916","Emergency Shelter (HUD)",793972,433264,47756,"Interim Review","2/23/2017","2/23/2017"
"4917","Emergency Shelter (HUD)",793972,433264,47978,"Interim Review","2/27/2017","2/27/2017"
"4918","Emergency Shelter (HUD)",793972,433264,48694,"Interim Review","3/1/2017","3/6/2017"
"4919","Emergency Shelter (HUD)",793973,433263,45051,"Interim Review","1/19/2017","1/19/2017"
"4920","Emergency Shelter (HUD)",793973,433263,46267,"Interim Review","2/2/2017","2/2/2017"
"4921","Emergency Shelter (HUD)",793973,433263,46687,"Interim Review","2/10/2017","2/10/2017"
"4922","Emergency Shelter (HUD)",793973,433263,47753,"Interim Review","2/23/2017","2/23/2017"
"4923","Emergency Shelter (HUD)",793973,433263,47757,"Interim Review","2/23/2017","2/23/2017"
"4924","Emergency Shelter (HUD)",793973,433263,47979,"Interim Review","2/27/2017","2/27/2017"
"4925","Emergency Shelter (HUD)",793973,433263,48695,"Interim Review","3/1/2017","3/6/2017"
"4926","Emergency Shelter (HUD)",795881,434690,45070,"Interim Review","1/19/2017","1/19/2017"
"4927","Emergency Shelter (HUD)",795882,434692,45071,"Interim Review","1/19/2017","1/19/2017"
"4928","Emergency Shelter (HUD)",796864,434976,44704,"Interim Review","1/12/2017","1/12/2017"
"4929","Emergency Shelter (HUD)",796864,434976,45776,"Interim Review","1/26/2017","1/26/2017"
"4930","Emergency Shelter (HUD)",796864,434976,47904,"Interim Review","2/24/2017","2/24/2017"
"4931","Emergency Shelter (HUD)",796864,434976,48714,"Interim Review","3/3/2017","3/3/2017"
"4932","Emergency Shelter (HUD)",796864,434976,49259,"Interim Review","3/14/2017","3/14/2017"
"4933","Emergency Shelter (HUD)",796864,434976,49555,"Interim Review","3/22/2017","3/22/2017"
"4934","Emergency Shelter (HUD)",796864,434976,49972,"Interim Review","3/29/2017","3/29/2017"
"4935","Emergency Shelter (HUD)",796864,434976,50526,"Interim Review","4/11/2017","4/11/2017"
"4936","Emergency Shelter (HUD)",796864,434976,51419,"Interim Review","4/19/2017","4/27/2017"
"4937","Emergency Shelter (HUD)",796865,434977,44705,"Interim Review","1/12/2017","1/12/2017"
"4938","Emergency Shelter (HUD)",796865,434977,45777,"Interim Review","1/26/2017","1/26/2017"
"4939","Emergency Shelter (HUD)",796865,434977,47905,"Interim Review","2/24/2017","2/24/2017"
"4940","Emergency Shelter (HUD)",796865,434977,48715,"Interim Review","3/3/2017","3/3/2017"
"4941","Emergency Shelter (HUD)",796865,434977,49260,"Interim Review","3/14/2017","3/14/2017"
"4942","Emergency Shelter (HUD)",796865,434977,49556,"Interim Review","3/22/2017","3/22/2017"
"4943","Emergency Shelter (HUD)",796865,434977,49973,"Interim Review","3/29/2017","3/29/2017"
"4944","Emergency Shelter (HUD)",796865,434977,50527,"Interim Review","4/11/2017","4/11/2017"
"4945","Emergency Shelter (HUD)",796865,434977,51420,"Interim Review","4/19/2017","4/27/2017"
"4946","Emergency Shelter (HUD)",797488,402080,37983,"Interim Review","6/30/2016","8/8/2016"
"4947","Emergency Shelter (HUD)",799155,435278,47301,"Interim Review","8/17/2016","2/17/2017"
"4948","Emergency Shelter (HUD)",799156,435282,47302,"Interim Review","8/17/2016","2/17/2017"
"4949","Emergency Shelter (HUD)",801411,421608,44975,"Interim Review","1/18/2017","1/18/2017"
"4950","Emergency Shelter (HUD)",801411,421608,48931,"Interim Review","3/8/2017","3/8/2017"
"4951","Emergency Shelter (HUD)",803598,413959,43094,"Interim Review","12/6/2016","12/6/2016"
"4952","Emergency Shelter (HUD)",803599,413961,43095,"Interim Review","12/6/2016","12/6/2016"
"4953","Emergency Shelter (HUD)",803600,413960,43096,"Interim Review","12/6/2016","12/6/2016"
"4954","Emergency Shelter (HUD)",803601,413962,43097,"Interim Review","12/6/2016","12/6/2016"
"4955","Emergency Shelter (HUD)",805105,436178,43670,"Interim Review","12/22/2016","12/22/2016"
"4956","Emergency Shelter (HUD)",805105,436178,44974,"Interim Review","1/18/2017","1/18/2017"
"4957","Emergency Shelter (HUD)",805105,436178,45582,"Interim Review","1/25/2017","1/25/2017"
"4958","Emergency Shelter (HUD)",805105,436178,46214,"Interim Review","2/2/2017","2/2/2017"
"4959","Emergency Shelter (HUD)",805105,436178,46993,"Interim Review","2/15/2017","2/15/2017"
"4960","Emergency Shelter (HUD)",805105,436178,47587,"Interim Review","2/22/2017","2/22/2017"
"4961","Emergency Shelter (HUD)",805105,436178,48929,"Interim Review","3/8/2017","3/8/2017"
"4962","Emergency Shelter (HUD)",805105,436178,49902,"Interim Review","3/28/2017","3/28/2017"
"4963","Emergency Shelter (HUD)",805105,436178,50551,"Interim Review","4/11/2017","4/11/2017"
"4964","Emergency Shelter (HUD)",805105,436178,50975,"Interim Review","4/19/2017","4/19/2017"
"4965","Emergency Shelter (HUD)",805105,436178,51426,"Interim Review","4/24/2017","4/27/2017"
"4966","Emergency Shelter (HUD)",807131,368890,43403,"Interim Review","12/16/2016","12/16/2016"
"4967","Emergency Shelter (HUD)",807131,368890,43724,"Interim Review","12/23/2016","12/23/2016"
"4968","Emergency Shelter (HUD)",807131,368890,44695,"Interim Review","1/12/2017","1/12/2017"
"4969","Emergency Shelter (HUD)",807131,368890,45041,"Interim Review","1/19/2017","1/19/2017"
"4970","Emergency Shelter (HUD)",807131,368890,45774,"Interim Review","1/26/2017","1/26/2017"
"4971","Emergency Shelter (HUD)",807131,368890,46230,"Interim Review","2/2/2017","2/2/2017"
"4972","Emergency Shelter (HUD)",807131,368890,46586,"Interim Review","2/9/2017","2/9/2017"
"4973","Emergency Shelter (HUD)",807131,368890,47067,"Interim Review","2/16/2017","2/16/2017"
"4974","Emergency Shelter (HUD)",807131,368890,47670,"Interim Review","2/23/2017","2/23/2017"
"4975","Emergency Shelter (HUD)",807131,368890,48496,"Interim Review","3/2/2017","3/2/2017"
"4976","Emergency Shelter (HUD)",807131,368890,49072,"Interim Review","3/10/2017","3/10/2017"
"4977","Emergency Shelter (HUD)",807131,368890,50637,"Interim Review","4/12/2017","4/12/2017"
"4978","Emergency Shelter (HUD)",807131,368890,51156,"Interim Review","4/25/2017","4/25/2017"
"4979","Emergency Shelter (HUD)",807131,368890,54745,"Interim Review","6/13/2017","6/13/2017"
"4980","Emergency Shelter (HUD)",811132,438487,44659,"Interim Review","1/12/2017","1/12/2017"
"4981","Emergency Shelter (HUD)",811137,81663,45491,"Interim Review","1/24/2017","1/24/2017"
"4982","Emergency Shelter (HUD)",811137,81663,47002,"Interim Review","2/16/2017","2/16/2017"
"4983","Emergency Shelter (HUD)",811137,81663,47033,"Interim Review","2/15/2017","2/16/2017"
"4984","Emergency Shelter (HUD)",811137,81663,47641,"Interim Review","2/23/2017","2/23/2017"
"4985","Emergency Shelter (HUD)",811137,81663,48782,"Interim Review","2/23/2017","3/7/2017"
"4986","Emergency Shelter (HUD)",811137,81663,48783,"Interim Review","3/7/2017","3/7/2017"
"4987","Emergency Shelter (HUD)",811137,81663,48785,"Interim Review","3/6/2017","3/7/2017"
"4988","Emergency Shelter (HUD)",811145,438763,43415,"Interim Review","12/16/2016","12/16/2016"
"4989","Emergency Shelter (HUD)",811145,438763,44083,"Interim Review","12/30/2016","12/30/2016"
"4990","Emergency Shelter (HUD)",811145,438763,45075,"Interim Review","1/19/2017","1/19/2017"
"4991","Emergency Shelter (HUD)",811145,438763,45956,"Interim Review","1/27/2017","1/31/2017"
"4992","Emergency Shelter (HUD)",811145,438763,46367,"Interim Review","2/3/2017","2/3/2017"
"4993","Emergency Shelter (HUD)",811145,438763,46721,"Interim Review","2/10/2017","2/10/2017"
"4994","Emergency Shelter (HUD)",811145,438763,47906,"Interim Review","2/24/2017","2/24/2017"
"4995","Emergency Shelter (HUD)",811145,438763,48719,"Interim Review","3/3/2017","3/3/2017"
"4996","Emergency Shelter (HUD)",811145,438763,49089,"Interim Review","3/10/2017","3/10/2017"
"4997","Emergency Shelter (HUD)",811145,438763,49704,"Interim Review","3/24/2017","3/24/2017"
"4998","Emergency Shelter (HUD)",811145,438763,49967,"Interim Review","3/29/2017","3/29/2017"
"4999","Emergency Shelter (HUD)",811145,438763,50540,"Interim Review","4/11/2017","4/11/2017"
"5000","Emergency Shelter (HUD)",811145,438763,51158,"Interim Review","4/25/2017","4/25/2017"
"5001","Emergency Shelter (HUD)",811145,438763,51777,"Interim Review","5/5/2017","5/5/2017"
"5002","Emergency Shelter (HUD)",811145,438763,52314,"Interim Review","5/12/2017","5/17/2017"
"5003","Emergency Shelter (HUD)",811145,438763,52683,"Interim Review","5/19/2017","5/19/2017"
"5004","Emergency Shelter (HUD)",811145,438763,53342,"Interim Review","5/26/2017","5/26/2017"
"5005","Emergency Shelter (HUD)",811145,438763,54478,"Interim Review","6/9/2017","6/9/2017"
"5006","Emergency Shelter (HUD)",811145,438763,55570,"Interim Review","6/23/2017","6/23/2017"
"5007","Emergency Shelter (HUD)",811145,438763,56380,"Interim Review","7/7/2017","7/7/2017"
"5008","Emergency Shelter (HUD)",811145,438763,57023,"Interim Review","7/14/2017","7/19/2017"
"5009","Emergency Shelter (HUD)",811145,438763,57370,"Interim Review","7/21/2017","7/25/2017"
"5010","Emergency Shelter (HUD)",811145,438763,58862,"Interim Review","8/8/2017","8/8/2017"
"5011","Emergency Shelter (HUD)",811145,438763,61598,"Interim Review","9/19/2017","9/19/2017"
"5012","Emergency Shelter (HUD)",811145,438763,63659,"Interim Review","10/3/2017","10/18/2017"
"5013","Emergency Shelter (HUD)",811145,438763,64719,"Interim Review","11/3/2017","11/3/2017"
"5014","Emergency Shelter (HUD)",811145,438763,66760,"Interim Review","12/6/2017","12/6/2017"
"5015","Emergency Shelter (HUD)",811145,438763,69692,"Interim Review","1/12/2018","1/12/2018"
"5016","Emergency Shelter (HUD)",811145,438763,70834,"Interim Review","1/26/2018","1/26/2018"
"5017","Emergency Shelter (HUD)",811145,438763,71592,"Interim Review","2/2/2018","2/2/2018"
"5018","Emergency Shelter (HUD)",811145,438763,72780,"Interim Review","9/20/2017","2/14/2018"
"5019","Emergency Shelter (HUD)",811145,438763,73259,"Interim Review","2/16/2018","2/16/2018"
"5020","Emergency Shelter (HUD)",811145,438763,76140,"Interim Review","3/14/2018","3/14/2018"
"5021","Emergency Shelter (HUD)",811412,412101,44932,"Interim Review","1/18/2017","1/18/2017"
"5022","Emergency Shelter (HUD)",811413,412104,44933,"Interim Review","1/18/2017","1/18/2017"
"5023","Emergency Shelter (HUD)",811414,412106,44934,"Interim Review","1/18/2017","1/18/2017"
"5024","Emergency Shelter (HUD)",811415,412105,44935,"Interim Review","1/18/2017","1/18/2017"
"5025","Emergency Shelter (HUD)",812252,427333,43566,"Interim Review","12/20/2016","12/20/2016"
"5026","Emergency Shelter (HUD)",812252,427333,44724,"Interim Review","1/12/2017","1/12/2017"
"5027","Emergency Shelter (HUD)",812252,427333,45114,"Interim Review","1/19/2017","1/19/2017"
"5028","Emergency Shelter (HUD)",812252,427333,45662,"Interim Review","1/25/2017","1/25/2017"
"5029","Emergency Shelter (HUD)",812261,136091,49579,"Interim Review","3/20/2017","3/22/2017"
"5030","Emergency Shelter (HUD)",812262,418402,49580,"Interim Review","3/20/2017","3/22/2017"
"5031","Emergency Shelter (HUD)",812263,431354,49581,"Interim Review","3/20/2017","3/22/2017"
"5032","Emergency Shelter (HUD)",812496,438902,43629,"Interim Review","12/21/2016","12/21/2016"
"5033","Emergency Shelter (HUD)",812496,438902,43686,"Interim Review","12/22/2016","12/22/2016"
"5034","Emergency Shelter (HUD)",812496,438902,44653,"Interim Review","1/12/2017","1/12/2017"
"5035","Emergency Shelter (HUD)",812496,438902,44779,"Interim Review","1/13/2017","1/13/2017"
"5036","Emergency Shelter (HUD)",812496,438902,45775,"Interim Review","1/26/2017","1/26/2017"
"5037","Emergency Shelter (HUD)",812496,438902,46211,"Interim Review","2/2/2017","2/2/2017"
"5038","Emergency Shelter (HUD)",812496,438902,46376,"Interim Review","2/3/2017","2/3/2017"
"5039","Emergency Shelter (HUD)",812498,339202,53086,"Interim Review","5/23/2017","5/23/2017"
"5040","Emergency Shelter (HUD)",812498,339202,53352,"Interim Review","5/30/2017","5/30/2017"
"5041","Emergency Shelter (HUD)",812498,339202,54377,"Interim Review","6/9/2017","6/9/2017"
"5042","Emergency Shelter (HUD)",812537,439225,51699,"Interim Review","5/4/2017","5/4/2017"
"5043","Emergency Shelter (HUD)",812545,439300,52046,"Interim Review","5/11/2017","5/11/2017"
"5044","Emergency Shelter (HUD)",812545,439300,53878,"Interim Review","6/6/2017","6/6/2017"
"5045","Emergency Shelter (HUD)",812849,308302,44828,"Interim Review","1/17/2017","1/17/2017"
"5046","Emergency Shelter (HUD)",812849,308302,46885,"Interim Review","2/14/2017","2/14/2017"
"5047","Emergency Shelter (HUD)",812849,308302,49002,"Interim Review","3/9/2017","3/9/2017"
"5048","Emergency Shelter (HUD)",812850,308303,44829,"Interim Review","1/17/2017","1/17/2017"
"5049","Emergency Shelter (HUD)",812850,308303,46886,"Interim Review","2/14/2017","2/14/2017"
"5050","Emergency Shelter (HUD)",812850,308303,49003,"Interim Review","3/9/2017","3/9/2017"
"5051","Emergency Shelter (HUD)",813404,162680,43943,"Interim Review","12/28/2016","12/28/2016"
"5052","Emergency Shelter (HUD)",813404,162680,44696,"Interim Review","1/12/2017","1/12/2017"
"5053","Emergency Shelter (HUD)",813404,162680,45286,"Interim Review","1/20/2017","1/20/2017"
"5054","Emergency Shelter (HUD)",813404,162680,46298,"Interim Review","2/3/2017","2/3/2017"
"5055","Emergency Shelter (HUD)",813404,162680,46679,"Interim Review","2/9/2017","2/10/2017"
"5056","Emergency Shelter (HUD)",813404,162680,47200,"Interim Review","2/16/2017","2/16/2017"
"5057","Emergency Shelter (HUD)",813404,162680,47745,"Interim Review","2/23/2017","2/23/2017"
"5058","Emergency Shelter (HUD)",813404,162680,48621,"Interim Review","3/2/2017","3/2/2017"
"5059","Emergency Shelter (HUD)",813404,162680,49573,"Interim Review","3/22/2017","3/22/2017"
"5060","Emergency Shelter (HUD)",813404,162680,49962,"Interim Review","3/29/2017","3/29/2017"
"5061","Emergency Shelter (HUD)",813404,162680,50170,"Interim Review","4/3/2017","4/3/2017"
"5062","Emergency Shelter (HUD)",813404,162680,50669,"Interim Review","4/13/2017","4/13/2017"
"5063","Emergency Shelter (HUD)",813405,162681,43944,"Interim Review","12/28/2016","12/28/2016"
"5064","Emergency Shelter (HUD)",813405,162681,44697,"Interim Review","1/12/2017","1/12/2017"
"5065","Emergency Shelter (HUD)",813405,162681,45287,"Interim Review","1/20/2017","1/20/2017"
"5066","Emergency Shelter (HUD)",813405,162681,46299,"Interim Review","2/3/2017","2/3/2017"
"5067","Emergency Shelter (HUD)",813405,162681,46680,"Interim Review","2/9/2017","2/10/2017"
"5068","Emergency Shelter (HUD)",813405,162681,47201,"Interim Review","2/16/2017","2/16/2017"
"5069","Emergency Shelter (HUD)",813405,162681,47746,"Interim Review","2/23/2017","2/23/2017"
"5070","Emergency Shelter (HUD)",813405,162681,48622,"Interim Review","3/2/2017","3/2/2017"
"5071","Emergency Shelter (HUD)",813405,162681,49574,"Interim Review","3/22/2017","3/22/2017"
"5072","Emergency Shelter (HUD)",813405,162681,49963,"Interim Review","3/29/2017","3/29/2017"
"5073","Emergency Shelter (HUD)",813405,162681,50171,"Interim Review","4/3/2017","4/3/2017"
"5074","Emergency Shelter (HUD)",813405,162681,50670,"Interim Review","4/13/2017","4/13/2017"
"5075","Emergency Shelter (HUD)",813406,439663,43945,"Interim Review","12/28/2016","12/28/2016"
"5076","Emergency Shelter (HUD)",813406,439663,44698,"Interim Review","1/12/2017","1/12/2017"
"5077","Emergency Shelter (HUD)",813406,439663,45288,"Interim Review","1/20/2017","1/20/2017"
"5078","Emergency Shelter (HUD)",813406,439663,46300,"Interim Review","2/3/2017","2/3/2017"
"5079","Emergency Shelter (HUD)",813406,439663,46681,"Interim Review","2/9/2017","2/10/2017"
"5080","Emergency Shelter (HUD)",813406,439663,47202,"Interim Review","2/16/2017","2/16/2017"
"5081","Emergency Shelter (HUD)",813406,439663,47747,"Interim Review","2/23/2017","2/23/2017"
"5082","Emergency Shelter (HUD)",813406,439663,48623,"Interim Review","3/2/2017","3/2/2017"
"5083","Emergency Shelter (HUD)",813406,439663,49575,"Interim Review","3/22/2017","3/22/2017"
"5084","Emergency Shelter (HUD)",813406,439663,49964,"Interim Review","3/29/2017","3/29/2017"
"5085","Emergency Shelter (HUD)",813406,439663,50172,"Interim Review","4/3/2017","4/3/2017"
"5086","Emergency Shelter (HUD)",813407,172710,44699,"Interim Review","1/12/2017","1/12/2017"
"5087","Emergency Shelter (HUD)",813407,172710,45289,"Interim Review","1/20/2017","1/20/2017"
"5088","Emergency Shelter (HUD)",813407,172710,46301,"Interim Review","2/3/2017","2/3/2017"
"5089","Emergency Shelter (HUD)",813407,172710,46682,"Interim Review","2/9/2017","2/10/2017"
"5090","Emergency Shelter (HUD)",813407,172710,47203,"Interim Review","2/16/2017","2/16/2017"
"5091","Emergency Shelter (HUD)",813407,172710,47748,"Interim Review","2/23/2017","2/23/2017"
"5092","Emergency Shelter (HUD)",813407,172710,48624,"Interim Review","3/2/2017","3/2/2017"
"5093","Emergency Shelter (HUD)",813407,172710,49576,"Interim Review","3/22/2017","3/22/2017"
"5094","Emergency Shelter (HUD)",813407,172710,49965,"Interim Review","3/29/2017","3/29/2017"
"5095","Emergency Shelter (HUD)",813407,172710,50173,"Interim Review","4/3/2017","4/3/2017"
"5096","Emergency Shelter (HUD)",813407,172710,50671,"Interim Review","4/13/2017","4/13/2017"
"5097","Emergency Shelter (HUD)",813408,162682,43946,"Interim Review","12/28/2016","12/28/2016"
"5098","Emergency Shelter (HUD)",813408,162682,44700,"Interim Review","1/12/2017","1/12/2017"
"5099","Emergency Shelter (HUD)",813408,162682,45290,"Interim Review","1/20/2017","1/20/2017"
"5100","Emergency Shelter (HUD)",813408,162682,46302,"Interim Review","2/3/2017","2/3/2017"
"5101","Emergency Shelter (HUD)",813408,162682,46683,"Interim Review","2/9/2017","2/10/2017"
"5102","Emergency Shelter (HUD)",813408,162682,47204,"Interim Review","2/16/2017","2/16/2017"
"5103","Emergency Shelter (HUD)",813408,162682,47749,"Interim Review","2/23/2017","2/23/2017"
"5104","Emergency Shelter (HUD)",813408,162682,48625,"Interim Review","3/2/2017","3/2/2017"
"5105","Emergency Shelter (HUD)",813408,162682,49577,"Interim Review","3/22/2017","3/22/2017"
"5106","Emergency Shelter (HUD)",813408,162682,49966,"Interim Review","3/29/2017","3/29/2017"
"5107","Emergency Shelter (HUD)",813408,162682,50174,"Interim Review","4/3/2017","4/3/2017"
"5108","Emergency Shelter (HUD)",813408,162682,50672,"Interim Review","4/13/2017","4/13/2017"
"5109","Emergency Shelter (HUD)",814269,439923,50632,"Interim Review","4/12/2017","4/12/2017"
"5110","Emergency Shelter (HUD)",814269,439923,51067,"Interim Review","4/21/2017","4/21/2017"
"5111","Emergency Shelter (HUD)",814269,439923,51755,"Interim Review","5/5/2017","5/5/2017"
"5112","Emergency Shelter (HUD)",814269,439923,61722,"Interim Review","9/21/2017","9/21/2017"
"5113","Emergency Shelter (HUD)",814269,439923,61724,"Interim Review","9/21/2017","9/21/2017"
"5114","Emergency Shelter (HUD)",814269,439923,63117,"Interim Review","10/11/2017","10/11/2017"
